gene_id,gene_name,log(velocity_gamma)
ENSMUSG00000033813,Tcea1,-1.582286276939787
ENSMUSG00000025907,Rb1cc1,-1.332607254189181
ENSMUSG00000048960,Prex2,0.5775670105624141
ENSMUSG00000057715,A830018L16Rik,0.12523122887140134
ENSMUSG00000025931,Paqr8,0.4800231408741755
ENSMUSG00000026058,Khdrbs2,0.901753739954644
ENSMUSG00000037509,Arhgef4,-2.01243289880642
ENSMUSG00000026111,Unc50,-3.2108961721500338
ENSMUSG00000026083,Eif5b,-1.8984885209042577
ENSMUSG00000060679,Mrps9,-2.1523826256816565
ENSMUSG00000026109,Tmeff2,-0.2295291458961745
ENSMUSG00000097649,Gm10561,0.06222005431924527
ENSMUSG00000051223,Bzw1,-0.9485093212153952
ENSMUSG00000015222,Map2,0.5903058779075756
ENSMUSG00000055567,Unc80,-1.7514499067786902
ENSMUSG00000006304,Arpc2,-2.215681055098384
ENSMUSG00000026227,2810459M11Rik,-0.5645927650647651
ENSMUSG00000026229,Psmd1,-1.2689999781681292
ENSMUSG00000026238,Ptma,-5.2057638008975164
ENSMUSG00000070738,Dgkd,-1.8682743171231944
ENSMUSG00000055013,Agap1,-0.8097771812167489
ENSMUSG00000026305,Lrrfip1,-1.1680005347338616
ENSMUSG00000034353,Ramp1,-4.694792969734223
ENSMUSG00000034343,Ube2f,-1.4409799713309788
ENSMUSG00000026275,Ppp1r7,-3.0116199570530173
ENSMUSG00000051185,Fam174a,-3.608670249532549
ENSMUSG00000070695,Cntnap5a,-0.38145421564103904
ENSMUSG00000064302,Clasp1,-0.932587505862088
ENSMUSG00000056211,R3hdm1,-0.638637404599865
ENSMUSG00000026434,Nucks1,-1.1424621437852212
ENSMUSG00000026447,Pik3c2b,-0.7149924606516005
ENSMUSG00000018189,Uchl5,-0.8910685034574463
ENSMUSG00000035131,Brinp3,-0.3836412895018852
ENSMUSG00000042751,Nmnat2,-0.29584220932548644
ENSMUSG00000033701,Acbd6,-1.3679263309937748
ENSMUSG00000015829,Tnr,1.5064095640477273
ENSMUSG00000040423,Rc3h1,-0.20428867691552535
ENSMUSG00000026585,Kifap3,-2.78586977427152
ENSMUSG00000026568,Mpc2,-3.196367302985516
ENSMUSG00000026678,Rgs5,-4.7278906280997965
ENSMUSG00000052423,B4galt3,-1.7999364094682953
ENSMUSG00000026553,Copa,-2.553297124181092
ENSMUSG00000026554,Dcaf8,-2.1883883024565898
ENSMUSG00000038034,Igsf8,-1.7141491944452627
ENSMUSG00000044708,Kcnj10,-2.2076064226783743
ENSMUSG00000026504,Sdccag8,-2.253864931274728
ENSMUSG00000038936,Sccpdh,-3.324688498289498
ENSMUSG00000026496,Parp1,-2.5119442126263984
ENSMUSG00000038576,Susd4,-1.3942685103069452
ENSMUSG00000026615,Eprs,-1.040575011142015
ENSMUSG00000097784,A430105J06Rik,0.3117392392868173
ENSMUSG00000058248,Kcnh1,-1.1349529643137497
ENSMUSG00000016494,Cd34,-2.754796270856839
ENSMUSG00000025917,Cops5,-2.254709956858916
ENSMUSG00000025935,Tram1,-1.3449080330657623
ENSMUSG00000025920,Stau2,-0.2078514488049336
ENSMUSG00000042686,Jph1,-0.8386146686494801
ENSMUSG00000028033,Kcnq5,-1.424446547751022
ENSMUSG00000026158,Ogfrl1,-3.081854416938132
ENSMUSG00000026155,Smap1,-1.043504295504634
ENSMUSG00000026153,Fam135a,-0.2458640940881416
ENSMUSG00000026141,Col19a1,0.2867739101972481
ENSMUSG00000048874,Phf3,-1.4866346989833268
ENSMUSG00000037351,Actr1b,-1.8447887959639189
ENSMUSG00000026090,2010300C02Rik,-1.4120764409642477
ENSMUSG00000058407,Txndc9,-2.4488213083179264
ENSMUSG00000050967,Creg2,-1.6482404370404022
ENSMUSG00000057363,Uxs1,-1.4972012964320558
ENSMUSG00000041439,Mfsd6,-2.4183564584164867
ENSMUSG00000025982,Sf3b1,-1.9593670888816324
ENSMUSG00000038174,Fam126b,-2.051302154097814
ENSMUSG00000026021,Sumo1,-3.2609493835181986
ENSMUSG00000026019,Wdr12,-1.0118769497734894
ENSMUSG00000025959,Klf7,-2.2905126095597805
ENSMUSG00000026000,Lancl1,-2.4268505190165013
ENSMUSG00000062209,Erbb4,-0.9190373503797572
ENSMUSG00000026193,Fn1,-2.2283460865685463
ENSMUSG00000026204,Ptprn,-2.1015742408462854
ENSMUSG00000033061,Resp18,-1.9696506785206955
ENSMUSG00000026235,Epha4,-1.1092639568007827
ENSMUSG00000026249,Serpine2,-1.824842611064862
ENSMUSG00000026163,Sphkap,-1.034812702976101
ENSMUSG00000036766,Dner,-2.0175693219668176
ENSMUSG00000026234,Ncl,-2.1196850035823633
ENSMUSG00000005501,Usp40,-0.009603768912695465
ENSMUSG00000026260,Ndufa10,-0.9954023127641469
ENSMUSG00000057329,Bcl2,0.8722140298684041
ENSMUSG00000026374,Tsn,-3.8253580425996407
ENSMUSG00000026385,Dbi,-4.627996843056784
ENSMUSG00000001674,Ddx18,-1.1071035374993512
ENSMUSG00000026347,Tmem163,-2.5406322153513847
