gene_id,gene_name,log(fit_beta),log(fit_gamma)
ENSMUSG00000025909,Sntg1,-5.186372731580264,-2.4214563118839068
ENSMUSG00000032719,Sbspon,0.890814238148064,-0.9685194117489152
ENSMUSG00000041859,Mcm3,3.2122560419948596,-0.9250845223005604
ENSMUSG00000026153,Fam135a,-2.1363246050141598,-1.5870007665773231
ENSMUSG00000033569,Adgrb3,-4.998154114705055,-1.6252822059635592
ENSMUSG00000003134,Tbc1d8,-2.1358922154779414,-1.4810415454631387
ENSMUSG00000008136,Fhl2,-1.1058361563493135,-2.1082005942921747
ENSMUSG00000073678,Pgap1,-0.2309386002353658,-1.0313648551422203
ENSMUSG00000052331,Ankrd44,-2.538102468260931,-1.1809643184497527
ENSMUSG00000025959,Klf7,0.05906054521565995,-1.0441109212666924
ENSMUSG00000025955,Akr1cl,0.6998017972717419,-0.7437642994468905
ENSMUSG00000026193,Fn1,0.8644306928180879,-1.0983940758728787
ENSMUSG00000039395,Mreg,0.5841524220708629,-0.9770162429393832
ENSMUSG00000026185,Igfbp5,1.3239390217494131,-1.1623684038792033
ENSMUSG00000006301,Tmbim1,2.1391951167655474,-1.1281400315358814
ENSMUSG00000006546,Cryba2,2.441849212685582,-0.37281981971327777
ENSMUSG00000026204,Ptprn,1.1380421566333083,-1.6410018065763263
ENSMUSG00000026235,Epha4,0.0200227435455299,0.21268272170592048
ENSMUSG00000026249,Serpine2,1.7346373813120168,-1.074283344460166
ENSMUSG00000026163,Sphkap,-2.1531929170173654,-1.867217629351312
ENSMUSG00000036766,Dner,-0.7941409475810728,-1.3100757817841349
ENSMUSG00000014602,Kif1a,1.0696274753840258,-1.0761848093577755
ENSMUSG00000026281,Dtymk,0.11014160052249493,-0.761532652243531
ENSMUSG00000026335,Pam,-1.5787242479247334,-2.1289062012562963
ENSMUSG00000057329,Bcl2,-0.6558912458281418,-0.33661927229730915
ENSMUSG00000036815,Dpp10,-2.4874297711918882,-0.8576521541979749
ENSMUSG00000026347,Tmem163,-0.5833395798519694,-0.3418966636238343
